class,champion
6,Ziggs
6,Xerath
6,Lux
6,Varus
6,Vel'Koz
6,Jayce
11,Yone
11,Katarina
11,Akali
11,Kha'Zix
11,Pyke
11,Fizz
11,Diana
11,Rengar
11,Shaco
11,Ekko
11,Kassadin
11,Qiyana
11,Zed
11,Evelynn
11,Nocturne
11,Talon
10,Viktor
10,Rumble
10,Anivia
10,Cassiopeia
10,Ryze
10,Swain
10,Karthus
10,Taliyah
10,Vladimir
10,Aurelion_Sol
10,Malzahar
6,Orianna
6,Sylas
6,Lissandra
6,Syndra
6,Brand
6,Veigar
6,Lux
6,Zoe
6,Neeko
6,Annie
6,Karma
6,LeBlanc
6,Twisted_Fate
6,Ahri
6,Seraphine
8,Bard
8,Pyke
8,Jhin
8,Neeko
8,Blitzcrank
8,Rakan
8,Thresh
8,Ivern
8,Morgana
8,Zyra
2,Pantheon
2,Irelia
2,Camille
2,Warwick
2,Hecarim
2,Olaf
2,Skarner
2,Vi
2,Rek'Sai
2,Diana
2,Elise
2,Rengar
2,Xin_Zhao
2,Renekton
2,Wukong
2,Jarvan_IV
2,Lee_Sin
4,Lulu
4,Soraka
4,Yuumi
4,Senna
4,Karma
4,Sona
4,Nami
4,Taric
4,Seraphine
4,Janna
3,Darius
3,Sett
3,Udyr
3,Dr._Mundo
3,Yorick
3,Illaoi
3,Aatrox
3,Shyvana
3,Urgot
3,Trundle
3,Nasus
3,Volibear
3,Mordekaiser
3,Garen
5,Jhin
5,Akshan
5,Caitlyn
5,Kai'Sa
5,Twitch
5,Tristana
5,Xayah
5,Kog'Maw
5,Jinx
5,Miss_Fortune
5,Varus
5,Senna
5,Lucian
5,Kalista
5,Aphelios
5,Vayne
5,Kindred
5,Corki
5,Ashe
5,Ezreal
5,Samira
5,Sivir
5,Draven
9,Yone
9,Sylas
9,Viego
9,Jax
9,Master_Yi
9,Tryndamere
9,Kayn
9,Gwen
9,Riven
9,Kled
9,Fiora
9,Lillia
9,Yasuo
9,Gnar
6,Azir
2,Fiddlesticks
10,Teemo
6,Heimerdinger
6,Nidalee
5,Quinn
1,Singed
5,Graves
7,Cho'Gath
5,Kayle
7,Zilean
6,Kennen
9,Gangplank
1,Sion
1,Alistar
1,Amumu
1,Nautilus
1,Maokai
1,Ornn
1,Gragas
1,Rammus
1,Malphite
1,Zac
1,Rell
1,Leona
1,Sejuani
1,Nunu
7,Braum
7,Poppy
7,Shen
7,Tahm_Kench
7,Galio
7,Taric
