adc,mage_or_assassin,support,diver_or_fighter_or_juggernaut,vanguard,battlemage,count(*)
1,1,1,2,0,0,19
1,1,0,2,1,0,10
0,2,0,2,1,0,9
0,2,1,2,0,0,6
1,2,0,1,1,0,6
1,2,1,1,0,0,6
1,1,2,1,0,0,5
0,1,2,2,0,0,3
1,1,0,1,2,0,3
1,1,1,1,1,0,3
0,1,0,2,1,1,2
1,0,0,2,1,1,2
1,0,1,2,0,1,2
1,3,0,1,0,0,2
0,1,0,2,2,0,1
0,1,1,1,1,1,1
0,1,1,1,2,0,1
0,1,1,2,0,1,1
0,1,1,2,1,0,1
0,1,2,1,0,1,1
0,2,0,1,1,1,1
0,2,0,3,0,0,1
0,2,1,1,1,0,1
0,3,0,1,1,0,1
0,3,0,2,0,0,1
1,0,0,3,1,0,1
1,0,2,1,0,1,1
1,0,2,1,1,0,1
1,0,2,2,0,0,1
1,1,1,1,0,1,1
1,2,1,0,1,0,1
1,2,2,0,0,0,1
2,0,1,1,0,1,1
2,0,1,1,1,0,1
